time,positionX,positionY
1.01,7.64923,2.79097
2.01,15.3496,5.51919
3.01,23.0904,8.01079
4.01,30.8718,10.3303
5.00002,38.5705,12.624
6.00004,46.4025,14.608
7.00007,54.2683,16.501
8.00009,62.1566,18.19
9.00011,70.0519,19.6662
10.0001,77.9657,20.9728
11.0002,85.9324,22.0331
12.0002,93.9135,22.8986
13.0002,101.899,23.5288
14.0002,109.382,23.7914
15.0002,109.404,23.7914
16.0003,109.405,23.7914
17.0003,109.406,23.7914
18.0003,109.406,23.7914
19.0003,109.406,23.7914
20.0004,109.407,23.7914
21.0004,109.407,23.7914
22.0004,109.407,23.7914
23.0004,109.408,23.7913
24.0005,109.408,23.7913
25.0005,109.408,23.7913
26.0005,109.409,23.7913
27.0005,109.41,23.7913
28.0005,109.41,23.7913
29.0006,109.411,23.7913
30.0006,109.412,23.7912
31.0006,109.412,23.7912
32.0006,109.413,23.7912
33.0005,109.414,23.7912
34.0003,109.414,23.7912
35.0001,109.414,23.7912
36.01,109.415,23.7912
37.0098,109.415,23.7913
38.0096,109.416,23.7912
39.0095,109.418,23.7912
40.0093,109.418,23.7912
41.0091,109.418,23.7912
42.009,109.419,23.7912
43.0088,109.42,23.7913
44.0086,109.421,23.7913
45.0085,109.422,23.7913
46.0083,109.423,23.7913
47.0081,109.424,23.7913
48.0079,109.426,23.7913
49.0078,109.426,23.7913
50.0076,109.426,23.7913
51.0074,109.426,23.7913
52.0073,109.426,23.7913
53.0071,109.426,23.7913
54.0069,109.427,23.7914
55.0068,109.427,23.7913
56.0066,109.427,23.7913
57.0064,109.427,23.7913
58.0063,109.427,23.7913
59.0061,109.427,23.7913
60.0059,109.427,23.7913
61.0058,109.427,23.7913
62.0056,109.428,23.7913
63.0054,109.428,23.7913
64.0053,109.428,23.7913
65.0055,109.43,23.7914
66.0057,109.43,23.7914
67.0059,109.43,23.7914
68.0061,109.43,23.7914
69.0063,109.43,23.7914
70.0065,109.432,23.7915
71.0068,109.432,23.7915
72.007,109.432,23.7915
73.0072,109.432,23.7915
74.0074,109.432,23.7915
75.0076,109.432,23.7915
76.0078,109.434,23.7915
77.008,109.434,23.7915
78.0083,109.435,23.7916
79.0085,109.435,23.7916
80.0087,109.435,23.7916
81.0089,109.436,23.7916
82.0091,109.437,23.7915
83.0093,109.437,23.7916
84.0095,109.437,23.7916
85.0098,109.437,23.7916
86.01,109.439,23.7916
87.0002,109.439,23.7916
88.0004,109.439,23.7916
89.0006,109.44,23.7916
90.0008,109.44,23.7916
91.001,109.44,23.7916
92.0012,109.441,23.7916
93.0015,109.441,23.7916
94.0017,109.441,23.7916
95.0019,109.441,23.7916
96.0021,109.441,23.7916
97.0023,109.441,23.7916
98.0025,109.441,23.7916
